,index,Serial No
399,18040372,172
400,18040341,171
401,18070741,171
402,18111186,171
403,18040388,170
404,18090838,170
405,18090955,170
406,18040053,169
407,18111179,169
408,18070579,169
409,18111093,168
410,18040337,168
411,18070668,168
412,18070636,168
413,18090934,167
414,18070695,165
415,18111028,165
416,18040357,165
417,18111119,165
418,18070685,164
419,18111202,164
420,18111166,163
421,18040051,163
422,18070550,163
423,18090890,163
424,18090879,163
425,18090887,163
426,18070468,163
427,18070559,162
428,18070617,162
429,18111144,161
430,18040400,161
431,18040223,161
432,18040129,161
433,18070439,161
434,18070768,160
435,18040070,160
436,18070441,160
437,18070706,160
438,18040339,160
439,18090974,160
440,18070615,158
441,18090919,158
442,18070682,158
443,18070778,158
444,18040199,157
445,18091009,157
446,18070583,156
447,18070435,156
448,18111176,156
449,18070711,155
450,18040340,155
451,18040212,155
452,18070750,155
453,18090818,154
454,18090901,154
455,18090880,153
456,18090982,152
457,18040235,152
458,18070498,152
459,18070551,151
460,18070666,151
461,18070730,151
462,18040269,151
463,18040039,150
464,18111076,150
465,18070591,149
466,18070717,149
467,18040305,148
468,18040130,148
469,18070585,148
470,18090915,148
471,18040104,148
472,18070548,148
473,18040092,147
474,18070622,147
475,18040277,147
476,18111041,146
477,18070804,146
478,18070705,146
479,18070531,145
480,18090953,145
481,18070628,142
482,18040361,142
483,18090870,142
484,18070795,141
485,18070419,141
486,18070782,141
487,18111102,140
488,18070528,140
489,18040342,140
490,18040148,140
491,18090946,139
492,18070766,137
493,18040166,137
494,18040180,137
495,18070482,137
496,18040297,136
497,18090939,135
498,18040153,135
499,18040398,135
500,18040265,135
501,18111043,135
502,18040115,134
503,18090964,134
504,18070472,133
505,18090986,133
506,18070670,133
507,18040237,132
508,18040347,132
509,18040028,132
510,18070760,131
511,18070803,130
512,18040157,130
513,18111121,129
514,18090941,129
515,18040150,129
516,18070512,129
517,18090966,128
518,18040318,127
519,18070584,126
520,18070794,126
521,18040200,125
522,18040248,125
523,18040198,125
524,18070507,124
525,18090909,124
526,18070564,124
527,18111131,124
528,18040294,124
529,18040214,123
530,18070484,123
531,18070486,123
532,18111035,122
533,18040169,122
534,18070535,122
535,18070448,122
536,18070539,122
537,18090910,121
538,18070536,121
539,18111193,121
540,18070474,121
541,18070429,121
542,18070580,120
543,18040060,120
544,18040330,120
545,18111211,119
546,18070588,118
547,18040181,118
548,18070427,117
549,18070611,117
550,18111080,117
551,18070540,116
552,18070651,116
553,18111101,116
554,18040184,116
555,18040408,115
556,18040288,113
557,18070763,112
558,18111204,112
559,18040243,112
560,18090811,112
561,18040175,112
562,18040394,112
563,18070657,112
564,18040387,112
565,18040238,111
566,18070471,110
567,18040081,110
568,18040125,110
569,18070738,110
570,18111066,110
571,18111105,109
572,18070514,109
573,18040069,109
574,18040263,108
575,18090822,108
576,18111098,107
577,18070599,107
578,18040202,107
579,18040315,107
580,18040378,107
581,18111116,107
582,18070786,106
583,18070631,106
584,18111025,106
585,18040026,105
586,18101022,105
587,18090812,105
588,18070423,104
589,18040139,104
590,18090871,104
591,18040208,104
592,18070665,103
593,18111195,103
594,18070415,103
595,18070693,102
596,18070761,101
597,18040151,101
598,18040284,101
599,18070553,101
600,18040118,101
601,18111109,99
602,18090825,99
603,18090820,98
604,18070422,98
605,18090963,98
606,18040080,97
607,18040102,96
608,18090823,96
609,18090926,95
610,18070552,95
611,18091005,94
612,18090881,94
613,18090993,94
614,18090869,94
615,18070731,94
616,18090852,93
617,18040283,92
618,18070629,92
619,18090867,92
620,18111194,92
621,18070592,92
622,18111030,91
623,18111064,91
624,18040032,91
625,18070475,90
626,18091004,90
627,18090959,90
628,18070586,90
629,18040072,88
630,18040257,88
631,18111068,88
632,18040322,88
