,index,Month
0,Sep,28736
1,Oct,27478
2,Nov,25414
3,Dec,25093
4,Aug,23186
5,Jul,19744
6,Jun,3884
7,Mar,2226
8,Feb,1369
9,Apr,1282
10,May,718
11,Jan,287
