,Total no of devices visible in server,1157,,,,,
,Total no of devices completed the download,920,,,,,
,Total no of devices remains pending,237,,,,,
,,,,,,Below mentioned serial numbers are part of pending serial numbers as well.,
,,,,,,,
,,,,,,,
S.No,Pending Serial Numbers,Pending Files,,,,S.No,Invisible Serial Numbers
83,18111106,ASD_OTA-SW_v1.1.tar.gz,,,,83,18040397
84,18040273,ASD_OTA-SW_v1.1.tar.gz,,,,84,18040213
85,18090970,ASD_OTA-SW_v1.1.tar.gz,,,,85,18040111
86,18090943,ASD_OTA-SW_v1.1.tar.gz,,,,86,18040220
87,18090859,ASD_OTA-SW_v1.1.tar.gz,,,,87,18111210
88,18090826,ASD_OTA-SW_v1.1.tar.gz,,,,88,18090940
89,18090829,ASD_OTA-SW_v1.1.tar.gz,,,,89,18111083
90,18040123,ASD_OTA-SW_v1.1.tar.gz,,,,90,18111209
91,18040368,ASD_OTA-SW_v1.1.tar.gz,,,,91,18111052
92,18070776,ASD_OTA-SW_v1.1.tar.gz,,,,92,18040047
93,18111086,ASD_OTA-SW_v1.1.tar.gz,,,,93,18040230
94,18111092,ASD_OTA-SW_v1.1.tar.gz,,,,94,18040179
95,18091010,ASD_OTA-SW_v1.1.tar.gz,,,,95,18040231
96,18040112,ASD_OTA-SW_v1.1.tar.gz,,,,96,18040052
97,18040088,ASD_OTA-SW_v1.1.tar.gz,,,,97,18111077
98,18040282,ASD_OTA-SW_v1.1.tar.gz,,,,98,18040405
99,18070788,ASD_OTA-SW_v1.1.tar.gz,,,,99,18040228
100,18070713,ASD_OTA-SW_v1.1.tar.gz,,,,100,18040224
101,18070650,ASD_OTA-SW_v1.1.tar.gz,,,,101,18040062
102,18090961,ASD_OTA-SW_v1.1.tar.gz,,,,102,18040160
103,18090960,ASD_OTA-SW_v1.1.tar.gz,,,,103,18111212
104,18040191,ASD_OTA-SW_v1.1.tar.gz,,,,104,18040197
105,18040409,ASD_OTA-SW_v1.1.tar.gz,,,,105,18040303
106,18070623,ASD_OTA-SW_v1.1.tar.gz,,,,106,18040196
107,18070571,ASD_OTA-SW_v1.1.tar.gz,,,,107,18040352
108,18070652,ASD_OTA-SW_v1.1.tar.gz,,,,108,18040281
109,18090876,ASD_OTA-SW_v1.1.tar.gz,,,,109,18090991
110,18070683,ASD_OTA-SW_v1.1.tar.gz,,,,110,18070572
111,18070648,ASD_OTA-SW_v1.1.tar.gz,,,,111,18091019
112,18070607,ASD_OTA-SW_v1.1.tar.gz,,,,112,18070659
113,18070697,ASD_OTA-SW_v1.1.tar.gz,,,,113,18090839
114,18070430,ASD_OTA-SW_v1.1.tar.gz,,,,114,18090831
115,18070744,ASD_OTA-SW_v1.1.tar.gz,,,,115,18090849
116,18070532,ASD_OTA-SW_v1.1.tar.gz,,,,116,18090837
117,18070519,ASD_OTA-SW_v1.1.tar.gz,,,,117,18111058
118,18070605,ASD_OTA-SW_v1.1.tar.gz,,,,118,18111031
119,18070509,ASD_OTA-SW_v1.1.tar.gz,,,,119,18111042
120,18090976,ASD_OTA-SW_v1.1.tar.gz,,,,120,18040276
121,18040056,ASD_OTA-SW_v1.1.tar.gz,,,,121,18040170
122,18090819,ASD_OTA-SW_v1.1.tar.gz,,,,122,18111099
123,18040131,ASD_OTA-SW_v1.1.tar.gz,,,,123,18070619
124,18040094,ASD_OTA-SW_v1.1.tar.gz,,,,124,18040109
125,18040126,ASD_OTA-SW_v1.1.tar.gz,,,,125,18070626
126,18040258,ASD_OTA-SW_v1.1.tar.gz,,,,126,18070500
127,18040401,ASD_OTA-SW_v1.1.tar.gz,,,,127,18070777
128,18040066,ASD_OTA-SW_v1.1.tar.gz,,,,128,18111177
129,18040348,ASD_OTA-SW_v1.1.tar.gz,,,,129,18111192
130,18040061,ASD_OTA-SW_v1.1.tar.gz,,,,130,18111200
131,18090923,ASD_OTA-SW_v1.1.tar.gz,,,,131,18040025
132,18090865,ASD_OTA-SW_v1.1.tar.gz,,,,132,18040274
133,18040132,ASD_OTA-SW_v1.1.tar.gz,,,,133,18070608
134,18070443,ASD_OTA-SW_v1.1.tar.gz,,,,134,18070709
135,18090918,ASD_OTA-SW_v1.1.tar.gz,,,,135,18070791
136,18040221,ASD_OTA-SW_v1.1.tar.gz,,,,136,18111122
