"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation"
"61","0.183653","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"62","0.327906","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"63","0.169777","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"64","0.027189","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"65","0.474430","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"66","0.221261","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"67","0.095357","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"68","0.100526","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"69","0.079778","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"70","0.418605","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"71","0.113863","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"72","0.188540","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"73","0.098031","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"74","0.101870","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"75","0.086968","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"76","0.315408","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"77","0.184763","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"78","0.211257","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"79","0.101395","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"80","0.098753","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"81","0.093011","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"82","0.499777","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"83","0.206392","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"84","0.206133","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"85","0.087879","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"86","0.499528","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"87","0.208184","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"88","0.199395","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"89","0.091448","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"90","0.499707","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"91","0.209463","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"92","0.200403","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"93","0.089265","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"94","0.499997","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"95","0.209277","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"96","0.200144","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"97","0.102650","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"98","0.500167","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"99","0.199358","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"100","0.197890","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"101","0.101509","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"102","0.500146","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"103","0.200019","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"104","0.099872","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"105","0.099891","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"106","0.109770","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"107","0.500011","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"108","0.189272","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"109","0.199890","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"110","0.109885","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"111","0.500279","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"112","0.189630","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"113","0.199929","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"114","0.109977","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"115","0.499875","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"116","0.190043","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"117","0.200004","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"118","0.115018","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"119","0.285511","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"120","0.209517","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"121","0.189996","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"122","0.200020","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"123","0.109139","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"124","0.500026","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"125","0.191005","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"126","0.100517","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"127","0.099376","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"128","0.119613","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"129","0.500822","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"130","0.179627","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"131","0.200006","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"132","0.119502","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"133","0.500179","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"134","0.180361","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"135","0.200025","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"136","0.118367","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"137","0.500461","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"138","0.180956","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"139","0.199653","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"140","0.119278","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"141","0.499766","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"142","0.187131","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"143","0.198771","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"144","0.113279","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"145","0.499652","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"146","0.183266","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"147","0.101249","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"148","0.098501","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"149","0.116359","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"150","0.499787","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"151","0.183757","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"152","0.200000","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"153","0.116287","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"154","0.499890","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"155","0.184895","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"156","0.199382","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"157","0.114784","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"158","0.500013","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"159","0.184753","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"160","0.200151","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"161","0.114620","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"162","0.290665","","SiemensI_12:22:28","","","0xe0000003,0xe0000003,0xe0000003,0xe0000003,0xe0000003","700","","WSA","407425177","-739311200","",""
"163","0.208993","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"164","0.185783","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"165","0.199861","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"166","0.113511","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"167","0.500923","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"168","0.185498","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"169","0.200127","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"170","0.176015","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
