"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation","lat","long"
"51","0.103968","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"52","0.095646","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"53","0.106126","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"54","0.095387","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"55","0.097497","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"56","0.100000","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"57","0.104482","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"58","0.105127","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439614,-131","-739299745,158"
"59","0.097861","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439708,-101","-739299693,158"
"60","0.102633","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440121,-197","-739299506,133"
"61","0.107505","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440212,-169","-739299482,137"
"62","0.100591","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440270,-169","-739299472,137"
"63","0.098190","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440319,-105","-739299462,58"
"64","0.095416","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440368,-70","-739299453,7"
"65","0.098025","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440416,-45","-739299445,-6"
"66","0.103977","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440464,-32","-739299437,-14"
"67","0.103436","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440516,-30","-739299412,-37"
"68","0.099424","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440563,-26","-739299404,-34"
"69","0.141443","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440610,3","-739299395,-20"
"70","0.078752","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440657,38","-739299387,-6"
"71","0.091533","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440704,46","-739299379,-1"
"72","0.102051","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440765,46","-739299342,-1"
"73","0.105682","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440812,21","-739299332,-49"
"74","0.104848","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440858,58","-739299321,-103"
"75","0.098175","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440902,77","-739299311,-164"
"76","0.096682","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440945,77","-739299300,-191"
"77","0.097244","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407440976,93","-739299280,-218"
"78","0.098435","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441013,83","-739299270,-231"
"79","0.097181","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441048,83","-739299261,-245"
"80","0.100903","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441080,93","-739299252,-257"
"81","0.096496","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441110,100","-739299244,-266"
"82","0.103135","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441137,100","-739299223,-266"
"83","0.104755","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441162,106","-739299216,-262"
"84","0.095486","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441185,112","-739299209,-266"
"85","0.095756","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441205,104","-739299203,-261"
"86","0.097432","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441222,104","-739299197,-261"
"87","0.100007","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441244,94","-739299177,-241"
"88","0.094796","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441259,71","-739299171,-202"
"89","0.100083","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441272,67","-739299167,-173"
"90","0.099208","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441283,65","-739299162,-156"
"91","0.103149","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441293,63","-739299158,-144"
"92","0.094176","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441294,63","-739299150,-144"
"93","0.101569","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441300,54","-739299147,-146"
"94","0.097460","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441305,44","-739299145,-140"
"95","0.097994","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441309,48","-739299143,-129"
"96","0.103457","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441311,52","-739299141,-134"
"97","0.103987","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441309,61","-739299132,-142"
"98","0.102719","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441308,44","-739299130,-103"
"99","0.105394","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441307,-6","-739299128,7"
"100","0.098646","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441307,-30","-739299127,63"
"101","0.106220","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441307,-3","-739299125,13"
"102","0.103961","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441325,-3","-739299116,13"
"103","0.096969","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441326,-12","-739299115,28"
"104","0.100269","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441327,-8","-739299113,21"
"105","0.094799","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441328,-1","-739299112,1"
"106","0.100485","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441329,-6","-739299110,17"
"107","0.099503","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441326,-4","-739299113,13"
"108","0.100795","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441327,-3","-739299113,9"
"109","0.099064","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441327,-6","-739299112,13"
"110","0.100711","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441327,-8","-739299112,19"
"111","0.106415","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441328,-4","-739299112,13"
"112","0.100460","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441329,-4","-739299112,13"
"113","0.097614","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441330,-6","-739299112,17"
"114","0.100611","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441330,-6","-739299112,15"
"115","0.100819","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441331,-4","-739299113,13"
"116","0.103353","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441331,-6","-739299113,15"
"117","0.104051","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441332,-4","-739299112,15"
"118","0.104206","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441333,-4","-739299112,15"
"119","0.100779","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441333,-6","-739299113,15"
"120","0.094407","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441333,-6","-739299113,15"
"121","0.103958","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441334,-6","-739299113,15"
"122","0.103578","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441336,-6","-739299112,15"
"123","0.100858","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441336,-6","-739299112,13"
"124","0.101812","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441336,-6","-739299113,15"
"125","0.101716","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441336,-6","-739299113,15"
"126","0.099394","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441337,-6","-739299113,15"
"127","0.100523","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441340,-6","-739299112,15"
"128","0.097509","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441340,-6","-739299112,15"
"129","0.103728","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441340,-4","-739299113,15"
"130","0.100366","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441340,-6","-739299113,15"
"131","0.097537","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441341,-6","-739299114,15"
"132","0.100232","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441342,-6","-739299107,15"
"133","0.100780","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441342,-4","-739299107,15"
"134","0.097591","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441342,-4","-739299107,15"
"135","0.097135","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441342,-6","-739299107,15"
"136","0.100364","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441342,-6","-739299107,15"
"137","0.103050","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"138","0.098748","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"139","0.099386","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"140","0.104297","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"141","0.104800","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"142","0.101150","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"143","0.095385","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-4","-739299106,15"
"144","0.097259","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
"145","0.106319","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407441345,-6","-739299106,15"
