"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation","lat","long"
"53","0.102509","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"54","0.101442","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"55","0.095495","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"56","0.103224","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"57","0.097600","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"58","0.095142","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"59","0.103691","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"60","0.102442","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"61","0.097687","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"62","0.096783","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"63","0.103510","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"64","0.095603","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"65","0.101342","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"66","0.102673","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"67","0.097883","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"68","0.099493","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"69","0.097019","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"70","0.098225","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"71","0.100350","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"72","0.098633","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"73","0.097524","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"74","0.098705","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"75","0.101758","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"76","0.103068","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"77","0.102625","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"78","0.098055","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"79","0.096253","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"80","0.097925","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"81","0.105160","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"82","0.100221","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"83","0.105624","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"84","0.097841","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"85","0.096197","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"86","0.099279","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"87","0.100741","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"88","0.096116","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"89","0.103952","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"90","0.101305","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"91","0.096926","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"92","0.097369","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"93","0.101182","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"94","0.097975","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"95","0.096292","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"96","0.099499","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
